


"Sr No",Type,"Res Type","Res Grp",SKU,"Item ID","Item Name","1 Day","2-4 Days","5-8 Days","9+ Days",Status,"Tax Rate",MRP,"Last Update"
1,"Card CFEx-A",Storage,"Memory Cards",PF160CEA800,2567,"Prograde 160GB CFExpress Type A 2.0 Card",350,300,250,250,,18,35000,2014-01-01
2,"Card CFEx-A",Storage,"Memory Cards",PF240CEA900,4360,"Prograde 240GB CFExpress Type A 2.0 Card",400,350,320,300,,18,21700,2014-01-01
3,"Card CFEx-A",Storage,"Memory Cards",SN160CEA800,2303,"Sony Tough 160GB G CFExpress Card Type A",400,350,320,300,,18,41000,2014-01-01
4,"Card CFEx-A",Storage,"Memory Cards",SN80CEA800,2249,"Sony Tough 80GB G CFExpress Card Type A",300,250,200,200,,18,34000,2014-01-01
5,Body,"Canon EF Mount","Video Cameras",BMPCC6K,1929,"Blackmagic Pocket Cinema Camera 6K Canon EF",1000,900,800,750,,18,138000,2025-09-29
6,Body,"Canon EF Mount","Video Cameras",BMPCC6KP,2698,"Blackmagic Pocket Cinema Camera 6K Pro",1300,1200,1100,1000,,18,240000,2025-09-29
7,Body,"Canon EF Mount","Crop Sensor",C1200D,202,"Canon EOS 1200D Body",400,350,320,300,Inactive,28,35000,2017-07-01
8,Body,"Canon EF Mount","Crop Sensor",C1300D,818,"Canon EOS 1300D Body",350,300,250,250,Inactive,18,30000,2019-06-28
9,Body,"Canon EF Mount","Crop Sensor",C1500D,1873,"Canon EOS 1500D",300,250,200,200,,18,30000,2024-09-25
10,Body,"Canon EF Mount","High-end Super-tele",C1DX,218,"Canon EOS 1DX Body",3000,2750,2550,2400,Inactive,28,400000,2017-11-16
11,Body,"Canon EF Mount","High-end Super-tele",C1DX2,924,"Canon EOS 1DX Mark II Body",1500,1300,1200,1150,,18,425000,2025-01-11
12,Body,"Canon EF Mount","Crop Sensor",C200DM2,1881,"Canon EOS 200D Mk II",450,420,400,380,,18,48000,2019-03-29
13,Body,"Canon EF Mount","Full Frame",C5D3,1,"Canon EOS 5D Mark III Body",1600,1400,1300,1200,Inactive,18,180000,2020-09-01
14,Body,"Canon EF Mount","Full Frame",C5D4,839,"Canon EOS 5D Mark IV Body",1000,900,800,750,,18,144000,2023-01-06
15,Body,"Canon EF Mount","Full Frame",C5DS,527,"Canon EOS 5Ds Body",2400,2200,2000,1800,Inactive,28,225000,2017-11-16
16,Body,"Canon EF Mount","Full Frame",C6D,5,"Canon EOS 6D Body",1100,1000,900,850,Inactive,18,120000,2019-10-01
17,Body,"Canon EF Mount","Full Frame",C6D2,1172,"Canon EOS 6D Mark II Body",700,650,600,550,,18,70800,2023-01-06
18,Body,"Canon EF Mount","Crop Sensor",C700D,472,"Canon EOS 700D Body",450,420,400,380,Inactive,18,40000,2019-03-29
19,Body,"Canon EF Mount","Crop Sensor",C760D,528,"Canon EOS 760D Body",700,650,600,550,Inactive,18,50000,2019-01-01
20,Body,"Canon EF Mount","Crop Sensor",C77D,1069,"Canon EOS 77D",600,550,500,450,Inactive,18,36000,2019-05-06
21,Body,"Canon EF Mount","Crop Sensor",C7D2,367,"Canon EOS 7D Mark II Body",600,550,500,450,Inactive,18,66000,2023-06-03
22,Body,"Canon EF Mount","Crop Sensor",C800D,1761,"Canon EOS 800D",300,250,200,200,,18,50000,2024-09-25
23,Body,"Canon EF Mount","Crop Sensor",C80D,715,"Canon EOS 80D Body",600,550,500,450,,18,42000,2022-09-22
24,Body,"Canon EF Mount","Crop Sensor",C90D,1941,"Canon EOS 90D",500,450,420,400,,18,54000,2024-09-25
25,Body,"Canon EF Mount","Video Cameras",CC3002,1131,"Canon EOS C300 Mk II",1500,1300,1200,1150,,18,510000,2024-11-29
26,Body,"Canon RF Mount","Video Cameras",CC70,2301,"Canon EOS C70",3500,3200,3000,2800,,18,330000,2024-11-29
27,Body,"Canon EF Mount","Crop Sensor",CM50,1411,"Canon EOS M50 Body",400,350,320,300,Inactive,18,50000,2019-01-01
28,Body,"Canon RF Mount","Full Frame",CEOSR,1549,"Canon EOS R",1500,1300,1200,1150,,18,108000,2023-06-03
29,Body,"Canon RF Mount","High-end Super-tele",CEOSR1,3949,"Canon EOS R1",4250,3850,3500,3250,,18,600000,2025-11-29
30,Body,"Canon RF Mount","Crop Sensor",CEOSR10,2785,"Canon EOS R10",700,650,600,550,,18,75000,2025-09-29
